writeableList,length,serviceName,mode
"Harrow & Wealdstone Station, Kenton Station, North Wembley Station, Wembley Central Station",4,"Bakerloo, Elephant & Castle - Queen's Park - Harrow & Wealdstone",underground
"Bank, Liverpool Street Station, Mile End, Stratford Station",4,"Central, Ealing Broadway/West Ruislip - Liverpool Street - Epping/Hainault/Woodford",underground
"Bank, Liverpool Street Station, Mile End, Stratford Station",4,"Central, Ealing Broadway/West Ruislip - Liverpool Street - Epping/Hainault/Woodford",underground
"Bank, Liverpool Street Station, Mile End, Stratford Station",4,"Central, Ealing Broadway/West Ruislip - Liverpool Street - Epping/Hainault/Woodford",underground
"Leyton, Leytonstone Station, Snaresbrook, South Woodford, Woodford",5,"Central, West Ruislip/Ealing Broadway - Liverpool Street - Hainault/Woodford/Epping",underground
"Barons Court, Hammersmith, Ravenscourt Park Station, Stamford Brook, Turnham Green",5,"Circle, Hammersmith - King's Cross St. Pancras - Victoria - Edgware Road",underground
"Barons Court, Hammersmith, Ravenscourt Park Station, Stamford Brook, Turnham Green",5,"Circle, Hammersmith - King's Cross St. Pancras - Victoria - Edgware Road",underground
"Barons Court, Hammersmith, Ravenscourt Park Station, Stamford Brook, Turnham Green",5,"Circle, Moorgate - Victoria - Edgware Road",underground
"Barons Court, Hammersmith, Ravenscourt Park Station, Stamford Brook, Turnham Green",5,"Circle, Barking/Baker Street - Victoria - High Street Kensington",underground
"Barons Court, Hammersmith, Ravenscourt Park Station, Stamford Brook, Turnham Green",5,"Circle, Hammersmith - King's Cross St. Pancras - Victoria - Edgware Road",underground
"Barons Court, Hammersmith, Ravenscourt Park Station, Stamford Brook, Turnham Green",5,"Circle, Barking/Baker Street - Victoria - High Street Kensington",underground
"Barons Court, Hammersmith, Ravenscourt Park Station, Stamford Brook, Turnham Green",5,"Circle, Hammersmith - King's Cross St. Pancras - Victoria - Edgware Road",underground
"Dagenham East, Elm Park, Hornchurch, Upminster Bridge, Upminster Station",5,"District, Ealing Broadway/Richmond/Wimbledon - Earl's Court - Upminster/Edgware Road",underground
"Dagenham East, Elm Park, Hornchurch, Upminster Bridge, Upminster Station",5,"District, Ealing Broadway/Richmond/Wimbledon - Earl's Court - Upminster/Edgware Road",underground
"Barons Court, Hammersmith, Ravenscourt Park Station, Stamford Brook, Turnham Green",5,"District, Ealing Broadway/Richmond/Wimbledon - Earl's Court - Upminster/High Street Kensington",underground
"Barons Court, Hammersmith, Ravenscourt Park Station, Stamford Brook, Turnham Green",5,"District, Ealing Broadway/Richmond/Wimbledon - Earl's Court - Upminster/High Street Kensington",underground
"Barons Court, Hammersmith, Ravenscourt Park Station, Stamford Brook, Turnham Green",5,"District, Ealing Broadway/Richmond/Wimbledon - Earl's Court - Upminster/High Street Kensington",underground
"Baker Street Station, Edgware Road, Paddington (H&C Line), Royal Oak, Westbourne Park",5,"Hammersmith & City, Hammersmith - King's Cross St. Pancras - Barking",underground
"Baker Street Station, Edgware Road, Paddington (H&C Line), Royal Oak, Westbourne Park",5,"Hammersmith & City, Hammersmith - King's Cross St. Pancras - Barking",underground
"Baker Street Station, Edgware Road, Paddington (H&C Line), Royal Oak, Westbourne Park",5,"Hammersmith & City, Hammersmith - King's Cross St. Pancras - Barking",underground
"Baker Street Station, Edgware Road, Paddington (H&C Line), Royal Oak, Westbourne Park",5,"Hammersmith & City, Hammersmith - King's Cross St. Pancras - Barking",underground
"Baker Street Station, Edgware Road, Paddington (H&C Line), Royal Oak, Westbourne Park",5,"Hammersmith & City, Hammersmith - King's Cross St. Pancras - Barking",underground
"Baker Street Station, Edgware Road, Paddington (H&C Line), Royal Oak, Westbourne Park",5,"Hammersmith & City, Hammersmith - King's Cross St. Pancras - Barking",underground
"Edgware Road, Paddington (H&C Line), Royal Oak, Westbourne Park",4,"Hammersmith & City, Hammersmith - Edgware Road",underground
"Bermondsey, London Bridge Station, Southwark Station, Waterloo, Westminster",5,"Jubilee, Stanmore - Waterloo - Stratford",underground
"Bermondsey, London Bridge Station, Southwark Station, Waterloo, Westminster",5,"Jubilee, Stanmore - Waterloo - Stratford",underground
"Bermondsey, London Bridge Station, Southwark Station, Waterloo, Westminster",5,"Jubilee, Stanmore - Waterloo - Stratford",underground
"Bermondsey, London Bridge Station, Southwark Station, Waterloo, Westminster",5,"Jubilee, Stanmore - Waterloo - Stratford",underground
"Baker Street Station, Bond Street Station, Green Park, Westminster",4,"Jubilee, Stanmore - Waterloo - Stratford",underground
"Amersham, Chalfont & Latimer, Chorleywood, Rickmansworth",4,"Metropolitan, Amersham/Chesham/Uxbridge/Watford - Baker Street - Aldgate",underground
"Moor Park, Northwood, Northwood Hills, Pinner",4,"Metropolitan, Amersham/Chesham/Uxbridge/Watford - Baker Street - Aldgate",underground
"Moor Park, Northwood, Northwood Hills, Pinner",4,"Metropolitan, Amersham/Chesham/Uxbridge/Watford - Harrow-on-the-Hill - Baker Street",underground
"Aldgate, Chesham, Northwick Park, Preston Road Station, Wembley Park",5,"Metropolitan, Amersham/Chesham/Uxbridge/Watford - Baker Street - Aldgate",underground
"Aldgate, Hillingdon Station, Ickenham, Ruislip, Ruislip Manor Station",5,"Metropolitan, Amersham/Chesham/Uxbridge/Watford - Baker Street - Aldgate",underground
"Aldgate, Hillingdon Station, Ickenham, Ruislip, Ruislip Manor Station",5,"Metropolitan, Amersham/Chesham/Uxbridge/Watford - Baker Street - Aldgate",underground
"Aldgate, Hillingdon Station, Ickenham, Ruislip, Ruislip Manor Station",5,"Metropolitan, Amersham/Chesham/Uxbridge/Watford - Baker Street - Aldgate",underground
"Aldgate, Hillingdon Station, Ickenham, Ruislip, Ruislip Manor Station",5,"Metropolitan, Amersham/Chesham/Uxbridge/Watford - Baker Street - Aldgate",underground
"Moor Park, Northwood, Northwood Hills, Pinner",4,"Metropolitan, Amersham/Chesham/Uxbridge/Watford - Harrow-on-the-Hill - Wembley Park",underground
"Aldgate, Hillingdon Station, Ickenham, Ruislip, Ruislip Manor Station",5,"Metropolitan, Amersham/Chesham/Uxbridge/Watford - Baker Street - Aldgate",underground
"Moor Park, Northwood, Northwood Hills, Pinner",4,"Metropolitan, Amersham/Chesham/Uxbridge/Watford - Baker Street - Aldgate",underground
